arxiv_id,short_name,screening_role,arxiv_url,pdf_path,markdown_path,markdown_status
1506.02629,ReusableHoldout,"adaptive-data generalization and differentially private holdout reuse prior",https://arxiv.org/abs/1506.02629,01_corpus/raw/extended/1506.02629.pdf,01_corpus/text_cache/mineru/extended/Generalization_in_Adaptive_Data_Analysis_and_Holdout_Reuse.md,parsed
1809.05596,GenericHoldout,"limited-information binary holdout release prior",https://arxiv.org/abs/1809.05596,01_corpus/raw/extended/1809.05596.pdf,01_corpus/text_cache/mineru/extended/The_Generic_Holdout_Preventing_False-Discoveries_in_Adaptive_Data_Science.md,parsed
2310.16960,PrivateAlignment,"DP-SGD reward and policy alignment prior",https://arxiv.org/abs/2310.16960,01_corpus/raw/extended/2310.16960.pdf,01_corpus/text_cache/mineru/extended/PRIVATELY_ALIGNING_LANGUAGE_MODELS_WITH_RE-INFORCEMENT_LEARNING.md,parsed
2501.09620,CausalRewards,"counterfactual-invariant causal reward modeling prior",https://arxiv.org/abs/2501.09620,01_corpus/raw/extended/2501.09620.pdf,01_corpus/text_cache/mineru/extended/Beyond_Reward_Hacking_Causal_Rewards_for_Large_Language_Model_Alignment.md,parsed
2505.18126,IteratedRMOveroptimization,"iterated reward-model overoptimization and retraining prior",https://arxiv.org/abs/2505.18126,01_corpus/raw/extended/2505.18126.pdf,01_corpus/text_cache/mineru/extended/Reward_Model_Overoptimisation_in_Iterated_RLHF.md,parsed
2601.04411,RateOrFate,"mode-wise Youden-index phase-transition prior",https://arxiv.org/abs/2601.04411,01_corpus/raw/extended/2601.04411.pdf,01_corpus/text_cache/mineru/extended/RLVεR_Reinforcement_Learning_with_Verifiable_Noisy_Rewards.md,parsed
2601.21350,FactoredCausalRM,"factored causal/noncausal reward representation prior",https://arxiv.org/abs/2601.21350,01_corpus/raw/extended/2601.21350.pdf,01_corpus/text_cache/mineru/extended/Factored_Causal_Representation_Learning_for_Robust_Reward_Modeling_in_RLHF.md,parsed
2601.22664,R2M,"real-time policy-hidden-state reward adaptation prior",https://arxiv.org/abs/2601.22664,01_corpus/raw/extended/2601.22664.pdf,01_corpus/text_cache/mineru/extended/Real-Time_Aligned_Reward_Model_beyond_Semantics.md,parsed
2602.01750,ARA,"adversarial hacker-auditor detection and reward gating prior",https://arxiv.org/abs/2602.01750,01_corpus/raw/extended/2602.01750.pdf,01_corpus/text_cache/mineru/extended/Adversarial_Reward_Auditing_for_Active_Detection_and_Mitigation_of_Reward_Hacking.md,parsed
2603.22563,DecoupledPrivateRM,"single-stage private reward learning and postprocessing policy prior",https://arxiv.org/abs/2603.22563,01_corpus/raw/extended/2603.22563.pdf,01_corpus/text_cache/mineru/extended/Privacy-Preserving_Reinforcement_Learning_from_Human_Feedback_via_Decoupled_Reward_Modeling.md,parsed
2604.07666,ImperfectVerifierGoodEnough,"noise-structure and precision-dominance empirical prior",https://arxiv.org/abs/2604.07666,01_corpus/raw/extended/2604.07666.pdf,01_corpus/text_cache/mineru/extended/An_Imperfect_Verifier_is_Good_Enough_Learning_with_Noisy_Rewards.md,parsed
2605.25189,DirectionalAlignment,"trusted clean-update subspace projection prior",https://arxiv.org/abs/2605.25189,01_corpus/raw/extended/2605.25189.pdf,01_corpus/text_cache/mineru/extended/Directional_Alignment_Mitigates_Reward_Hacking_in_Reinforcement_Learning_for_Language_Models.md,parsed
