proxy_relevance,latent_exploit_strength,gradient_bias_norm_mean,clean_gradient_cosine_mean,cosine_gain_mean,cosine_gain_ci95_lower,bridge_condition_number_mean,bridge_oracle_cosine_difference_mean
0.9,0.0,0.006381284316023919,0.9994939567401764,-0.0004216016095557995,-0.0006560346347424314,1.6310606141458126,0.00045502582292207273
0.9,0.15,0.007480840124486403,0.9984065911506825,-0.000838291658059287,-0.0016730743397951166,1.6793386858919104,0.0015371200572908306
0.9,0.3,0.008030643660080213,0.9985165140832051,-0.0009970730074667423,-0.0025308341987279933,1.8144491721404303,0.001344202263908234
0.8,0.0,0.005995027226682321,0.9992588269641672,-0.0006896199212124366,-0.001081920331160395,3.118057771721401,0.0006853927345595423
0.8,0.15,0.012280594456542887,0.9962374481562313,-0.0020358824375783734,-0.004740438150739043,3.1968314509506777,0.003548175741859794
0.8,0.3,0.007692610465320776,0.9988295687420002,-0.0008966701212397066,-0.001680382902485152,3.360431592617851,0.001068808090975959
0.7,0.0,0.016812334681334785,0.9921609693317344,-0.007764203300511774,-0.013861754246659681,8.042843409974301,0.007787356360668451
0.7,0.15,0.026518691383484873,0.9850899949440866,-0.013684688084350171,-0.02505894008154224,8.88159161555323,0.014792759600549887
0.7,0.3,0.01818033292085439,0.9905294561923629,-0.009082671691125999,-0.01729404160655213,9.303838879822447,0.009360336638277667
0.55,0.0,0.06549918559251919,0.899219237677307,-0.10068379977758415,-0.1973283550569393,170.80285278270017,0.10061506649654624
0.55,0.15,0.0391222695507991,0.9595075163450264,-0.03898494538822186,-0.09036105151931931,678.122519129043,0.04035635139133205
0.55,0.3,0.10191770754590104,0.828404155841592,-0.1711229205207367,-0.29534636759505284,238.62285647649546,0.17151241541805837
0.52,0.0,0.05068854013197164,0.939113172936457,-0.06082920029629615,-0.10642765298049431,1286.6859569678531,0.060842605223151436
0.52,0.15,0.017496766520762503,0.995280068310786,-0.0021899113725800446,-0.00636396879042217,2382.583638066396,0.004547073465591733
0.52,0.3,0.03061659831538429,0.9738475309015284,-0.02573960573361822,-0.05407237761848596,728.9491879634913,0.026038891576588473
0.5,0.0,0.04231177132830025,0.9625551221394526,-0.03738335636160728,-0.04236299445173037,600.256202445611,0.037400095110966626
0.5,0.15,0.016613290784319962,0.9962708565739126,-0.001107059369081087,-0.003392392427737199,760.3060314468332,0.0036466926969669134
0.5,0.3,0.03139756331670675,0.9383869461694617,-0.06105393347118826,-0.1779347078024665,167.04773311217778,0.06142082750712883
